timestamp,VTHO,PLA,OCE,SHA,DBET,EHrT,TIC,YEET,Other
1548086260000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548096260000,279416.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548106260000,284606.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548116260000,284468.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548126260000,284468.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548136260000,284468.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548146260000,294458.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548156260000,294458.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548166260000,292464.09,4385.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548176260000,291747.72,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548186260000,288579.98,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548196260000,288121.52,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548206260000,287535.52,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548216260000,286776.27,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548226260000,286776.27,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548236260000,286776.27,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548246260000,286010.65,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548256260000,286627.27,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548266260000,286479.88,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548276260000,285478.56,4616.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548286260000,285478.56,4616.78,0.00,1000.00,0.00,0.00,0.00,0.00,0.00
1548296270000,284624.40,4616.78,0.00,1000.00,0.00,0.00,0.00,0.00,0.00
1548306270000,282040.06,4616.78,0.00,1000.00,0.00,0.00,0.00,0.00,0.00
1548316270000,282040.06,4616.78,0.00,1000.00,0.00,0.00,0.00,0.00,0.00
1548326270000,284337.05,35002.05,0.00,1211.34,0.00,0.00,0.00,0.00,0.00
1548336270000,314213.90,123318.05,0.00,1311.34,14828.93,0.00,0.00,0.00,0.00
1548346270000,314123.74,123318.05,0.00,1311.34,14828.93,0.00,0.00,0.00,0.00
1548356270000,315454.37,123318.05,0.00,1311.34,14928.93,0.00,0.00,0.00,0.00
1548366290000,315454.37,123318.05,0.00,1311.34,14928.93,0.00,0.00,0.00,0.00
1548376290000,315408.92,123318.05,0.00,1311.34,14928.93,0.00,0.00,0.00,0.00
1548386290000,315250.90,123318.05,0.00,1311.34,14928.93,0.00,0.00,0.00,0.00
1548396290000,314748.24,123318.05,0.00,1311.34,14928.93,0.00,0.00,0.00,0.00
1548406290000,324738.24,123318.05,0.00,5492.77,14928.93,0.00,0.00,0.00,0.00
1548416290000,324738.24,123318.05,0.00,5492.77,14928.93,0.00,0.00,0.00,0.00
1548426290000,324738.24,123318.05,0.00,5492.77,14928.93,0.00,0.00,0.00,0.00
1548436290000,334586.74,123318.05,0.00,5492.77,284975.81,0.00,0.00,0.00,0.00
1548446290000,334586.74,123318.05,0.00,5492.77,284975.81,0.00,0.00,0.00,0.00
1548456290000,334586.74,123318.05,0.00,5492.77,284975.81,0.00,0.00,0.00,0.00
1548466290000,325970.98,123318.05,0.00,5492.77,284975.81,0.00,0.00,0.00,0.00
1548476290000,324354.06,123318.05,0.00,5492.77,284975.81,0.00,0.00,0.00,0.00
1548486300000,324354.06,123318.05,0.00,5492.77,284975.81,0.00,0.00,0.00,0.00
1548496300000,324354.06,123318.05,0.00,22218.55,284975.81,0.00,0.00,0.00,0.00
1548506300000,324966.74,389245.70,0.00,22218.55,284975.81,0.00,0.00,0.00,0.00
1548516310000,427457.77,389245.70,0.00,22218.55,284975.81,0.00,0.00,0.00,0.00
1548526310000,427367.96,389245.70,0.00,22218.55,284975.81,0.00,0.00,0.00,0.00
1548536310000,440958.61,389245.70,0.00,22218.55,284975.81,0.00,0.00,0.00,0.00
1548546310000,440958.61,389245.70,0.00,22218.55,284975.81,0.00,0.00,0.00,0.00
1548556320000,433909.36,389245.70,0.00,22218.55,294406.03,0.00,0.00,0.00,0.00
1548566320000,433753.95,389245.73,0.00,22218.55,294406.03,0.00,0.00,0.00,0.00
1548576320000,433753.95,389245.73,0.00,22218.55,294406.03,0.00,0.00,0.00,0.00
1548586320000,443743.95,389245.73,0.00,39351.69,294406.03,0.00,0.00,0.00,0.00
1548596320000,443743.95,389245.73,0.00,39351.69,294406.03,0.00,0.00,0.00,0.00
1548606320000,443613.86,390907.77,0.00,39351.69,294406.03,0.00,0.00,0.00,0.00
1548616320000,443297.69,390907.77,0.00,39351.69,294406.03,0.00,0.00,0.00,0.00
1548626320000,442999.54,390907.77,0.00,39351.69,294406.03,0.00,0.00,0.00,0.00
1548636320000,442999.54,390907.77,0.00,39351.69,294406.03,0.00,0.00,0.00,0.00
1548646320000,442837.60,390907.77,0.00,39351.69,294406.03,0.00,0.00,0.00,0.00
1548656340000,437840.29,390907.77,0.00,39351.69,294406.03,0.00,0.00,0.00,0.00
1548666340000,487667.09,667961.94,0.00,458544.36,294406.03,0.00,0.00,0.00,0.00
1548676340000,488491.06,687934.40,0.00,462227.36,295356.03,0.00,0.00,0.00,0.00
1548686340000,485038.44,804790.80,0.00,442116.77,295356.03,0.00,0.00,0.00,0.00
1548696340000,489655.49,806162.06,0.00,466249.83,295356.03,0.00,0.00,0.00,0.00
