provider,eth
​0x27CEb9CB4692Df4dFc790e86c6f38fD17ef77e77,342575.54
​0xdFEf167cBAaE1507D723E41501fd3855cbcA2c99,92529.70
​0x62eb322cCd1109bB01eB6a21f3627f6bc196b24d,82056.19
​0x15f0a2ED2133D874Ddd0AB4A1c5ab97Ff6e00374,65529.87
​0xC3a4f918Bf01bB8F1907EC0408B733fF749D7cFA,37605.73
​0x2f37887F606684815Eca0082428C2644E0467234,30565.84
​0x73cf2c29D81671774F455203009b03479DfbA225,27159.69
​0xb00493ef3d9c2F59701708112a1fcc61982B1B92,25670.32
​0x94a96F9E196a113Dec20e8bD951A0fAa21FCc7ac,24195.64
​0xDF3bD41E1a6BFD704adF25593A46712baAd2b130,7685.25
Other,10297.79
