provider,eth
​0xa52771C36332C1B7E1506754FB1BA775c1388915,64882.74
​0x15f0a2ED2133D874Ddd0AB4A1c5ab97Ff6e00374,27971.76
​0x73cf2c29D81671774F455203009b03479DfbA225,24476.36
​0xA334e40C9A9d5a82dA7a8EF4d2f2406E8CE3A45F,19800.35
​0xf050694b4e711F4Abab3a5E0374DF5ff3C3d565c,17079.17
​0xC3a4f918Bf01bB8F1907EC0408B733fF749D7cFA,15542.30
​0x56C9EB634da871f7D68fEf65016616605230F79a,14032.17
​0x4afEc1B71daAE0414b5AF2eE91a24c3dcEeA1BC1,5400.29
​0xdF12dcA3765Da7a3516D84D7f1d6816dac6845af,4002.53
​0xA3C93584d62b381549f43f9c1aEc26D7DD97Fa45,2188.96
Other,1632.79
