timestamp,VTHO,OCE,PLA,SHA,DBET,EHrT,TIC,YEET,Other
1548086260000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548096260000,279416.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548106260000,284606.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548116260000,284468.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548126260000,284468.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548136260000,284468.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548146260000,294458.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548156260000,294458.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548166260000,292464.09,0.00,4385.96,0.00,0.00,0.00,0.00,0.00,0.00
1548176260000,291747.72,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548186260000,288579.98,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548196260000,288121.52,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548206260000,287535.52,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548216260000,286776.27,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548226260000,286776.27,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548236260000,286776.27,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548246260000,286010.65,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548256260000,286627.27,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548266260000,286479.88,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548276260000,285478.56,0.00,4616.78,0.00,0.00,0.00,0.00,0.00,0.00
1548286260000,285478.56,0.00,4616.78,1000.00,0.00,0.00,0.00,0.00,0.00
1548296270000,284624.40,0.00,4616.78,1000.00,0.00,0.00,0.00,0.00,0.00
1548306270000,282040.06,0.00,4616.78,1000.00,0.00,0.00,0.00,0.00,0.00
1548316270000,282040.06,0.00,4616.78,1000.00,0.00,0.00,0.00,0.00,0.00
1548326270000,284337.05,0.00,35002.05,1211.34,0.00,0.00,0.00,0.00,0.00
1548336270000,314213.90,0.00,123318.05,1311.34,14828.93,0.00,0.00,0.00,0.00
1548346270000,314123.74,0.00,123318.05,1311.34,14828.93,0.00,0.00,0.00,0.00
1548356270000,315454.37,0.00,123318.05,1311.34,14928.93,0.00,0.00,0.00,0.00
1548366290000,315454.37,0.00,123318.05,1311.34,14928.93,0.00,0.00,0.00,0.00
1548376290000,315408.92,0.00,123318.05,1311.34,14928.93,0.00,0.00,0.00,0.00
1548386290000,315250.90,0.00,123318.05,1311.34,14928.93,0.00,0.00,0.00,0.00
1548396290000,314748.24,0.00,123318.05,1311.34,14928.93,0.00,0.00,0.00,0.00
1548406290000,324738.24,0.00,123318.05,5492.77,14928.93,0.00,0.00,0.00,0.00
1548416290000,324738.24,0.00,123318.05,5492.77,14928.93,0.00,0.00,0.00,0.00
1548426290000,324738.24,0.00,123318.05,5492.77,14928.93,0.00,0.00,0.00,0.00
1548436290000,334586.74,0.00,123318.05,5492.77,284975.81,0.00,0.00,0.00,0.00
1548446290000,334586.74,0.00,123318.05,5492.77,284975.81,0.00,0.00,0.00,0.00
1548456290000,334586.74,0.00,123318.05,5492.77,284975.81,0.00,0.00,0.00,0.00
1548466290000,325970.98,0.00,123318.05,5492.77,284975.81,0.00,0.00,0.00,0.00
1548476290000,324354.06,0.00,123318.05,5492.77,284975.81,0.00,0.00,0.00,0.00
1548486300000,324354.06,0.00,123318.05,5492.77,284975.81,0.00,0.00,0.00,0.00
1548496300000,324354.06,0.00,123318.05,22218.55,284975.81,0.00,0.00,0.00,0.00
1548506300000,324966.74,0.00,389245.70,22218.55,284975.81,0.00,0.00,0.00,0.00
1548516310000,427457.77,0.00,389245.70,22218.55,284975.81,0.00,0.00,0.00,0.00
1548526310000,427367.96,0.00,389245.70,22218.55,284975.81,0.00,0.00,0.00,0.00
1548536310000,440958.61,0.00,389245.70,22218.55,284975.81,0.00,0.00,0.00,0.00
1548546310000,440958.61,0.00,389245.70,22218.55,284975.81,0.00,0.00,0.00,0.00
1548556320000,433909.36,0.00,389245.70,22218.55,294406.03,0.00,0.00,0.00,0.00
1548566320000,433753.95,0.00,389245.73,22218.55,294406.03,0.00,0.00,0.00,0.00
1548576320000,433753.95,0.00,389245.73,22218.55,294406.03,0.00,0.00,0.00,0.00
1548586320000,443743.95,0.00,389245.73,39351.69,294406.03,0.00,0.00,0.00,0.00
1548596320000,443743.95,0.00,389245.73,39351.69,294406.03,0.00,0.00,0.00,0.00
1548606320000,443613.86,0.00,390907.77,39351.69,294406.03,0.00,0.00,0.00,0.00
1548616320000,443297.69,0.00,390907.77,39351.69,294406.03,0.00,0.00,0.00,0.00
1548626320000,442999.54,0.00,390907.77,39351.69,294406.03,0.00,0.00,0.00,0.00
1548636320000,442999.54,0.00,390907.77,39351.69,294406.03,0.00,0.00,0.00,0.00
1548646320000,442837.60,0.00,390907.77,39351.69,294406.03,0.00,0.00,0.00,0.00
1548656340000,437840.29,0.00,390907.77,39351.69,294406.03,0.00,0.00,0.00,0.00
1548666340000,487667.09,0.00,667961.94,458544.36,294406.03,0.00,0.00,0.00,0.00
1548676340000,488491.06,0.00,687934.40,462227.36,295356.03,0.00,0.00,0.00,0.00
1548686340000,485038.44,0.00,804790.80,442116.77,295356.03,0.00,0.00,0.00,0.00
1548696340000,489655.49,0.00,806162.06,466249.83,295356.03,0.00,0.00,0.00,0.00
