provider,eth
​0x206D06A7D4b2029A2531C31454AFB2543123Df78,448686.47
​0x14Fe55c8f5F83900F280a41bA6EF31042D8808D9,409899.00
​0x0Ea8d6234df17f40C5Caa5A8023c39C3b1C85610,190482.53
​0x15f0a2ED2133D874Ddd0AB4A1c5ab97Ff6e00374,167914.25
​0x1CfB5D4bd50E21085852eb4B575e24ad47DC0f8A,157845.42
​0x3eb3829f0C40a599Da990253392c6a801eDCB0B9,146930.09
​0x79dca5229B6883861d37431B2E16F964158a86c4,48022.57
​0xe82aa659D913E70A475346Ad6786cd78ba38253f,35149.15
​0x4918AE72E06477D4D8d4CdA1174d3F8Ea50ED2D7,32975.63
​0x73cf2c29D81671774F455203009b03479DfbA225,32668.03
​0x56C9EB634da871f7D68fEf65016616605230F79a,28385.50
​0xdFEf167cBAaE1507D723E41501fd3855cbcA2c99,25886.51
​0xC3a4f918Bf01bB8F1907EC0408B733fF749D7cFA,25670.03
Other,132211.61
