provider,eth
​0x206D06A7D4b2029A2531C31454AFB2543123Df78,459389.58
​0x14Fe55c8f5F83900F280a41bA6EF31042D8808D9,419676.86
​0x0Ea8d6234df17f40C5Caa5A8023c39C3b1C85610,195026.36
​0x15f0a2ED2133D874Ddd0AB4A1c5ab97Ff6e00374,173312.28
​0x1CfB5D4bd50E21085852eb4B575e24ad47DC0f8A,161610.71
​0x3eb3829f0C40a599Da990253392c6a801eDCB0B9,150435.01
​0x79dca5229B6883861d37431B2E16F964158a86c4,49168.12
​0xe82aa659D913E70A475346Ad6786cd78ba38253f,35987.61
​0x4918AE72E06477D4D8d4CdA1174d3F8Ea50ED2D7,33762.24
​0x73cf2c29D81671774F455203009b03479DfbA225,33447.30
​0x56C9EB634da871f7D68fEf65016616605230F79a,29062.62
​0xdFEf167cBAaE1507D723E41501fd3855cbcA2c99,26504.01
​0xC3a4f918Bf01bB8F1907EC0408B733fF749D7cFA,26282.37
​0xb00493ef3d9c2F59701708112a1fcc61982B1B92,19499.58
Other,134457.09
